event_id,vehicle_id,driver_id,trip_id,event_timestamp,latitude,longitude,speed_kmph,heading,gps_accuracy,ignition_status,battery_level
EVT_0001643450,VH_ORPHAN_4584,DRV_UNKNOWN_598,,2025-01-20 00:00:00.177,27.6119593,78.3665991,17.22,357.5,37.3,OFF,87
EVT_0000083227,VH_0108,DRV_0108,,2025-01-20 00:00:28.532,18.9513622,72.8484049,0.0,2.0,19.8,OFF,93
EVT_0000044016,VH_0062,DRV_0062,,2025-01-20 00:00:46.077,28.7813121,76.9348842,0.0,37.2,7.9,OFF,26
EVT_0000204038,VH_0267,DRV_0267,,2025-01-20 00:01:05.254,19.0869284,72.6349962,0.0,151.7,6.4,OFF,40
EVT_0001641150,VH_ORPHAN_3628,DRV_UNKNOWN_669,,2025-01-20 00:02:00.271,33.633529,69.7144534,70.17,333.7,35.2,OFF,70
EVT_0001642315,VH_ORPHAN_8237,DRV_UNKNOWN_399,,2025-01-20 00:03:00.177,21.1616086,70.2744568,69.62,312.0,41.3,OFF,38
EVT_0000176136,VH_0229,DRV_0229,,2025-01-20 00:03:10.439,26.5907437,75.5857783,0.0,340.5,17.7,OFF,93
EVT_0001639298,VH_ORPHAN_2242,DRV_UNKNOWN_281,,2025-01-20 00:04:00.340,29.7457427,71.4294013,49.24,179.7,18.8,OFF,46
EVT_0001642099,VH_ORPHAN_6700,DRV_UNKNOWN_530,,2025-01-20 00:04:00.823,17.0056117,73.5974817,15.06,103.4,27.8,OFF,11
EVT_0001643512,VH_ORPHAN_7034,DRV_UNKNOWN_121,,2025-01-20 00:04:00.939,11.9614863,89.2790627,55.29,74.5,19.4,OFF,91
EVT_0001642075,VH_ORPHAN_1274,DRV_UNKNOWN_874,,2025-01-20 00:05:00.273,15.0346729,88.8685627,78.36,130.9,30.2,ON,70
EVT_0000124919,VH_0163,DRV_0163,,2025-01-20 00:05:53.107,27.0722312,75.7497251,0.0,275.5,21.0,OFF,61
EVT_0001640891,VH_ORPHAN_7190,DRV_UNKNOWN_611,,2025-01-20 00:06:00.239,13.2729898,68.2266209,68.23,37.2,24.2,ON,63
EVT_0000157649,VH_0207,DRV_0207,,2025-01-20 00:06:22.716,18.1176231,74.2086144,0.0,22.0,8.9,OFF,34
EVT_0000198141,VH_0254,DRV_0254,,2025-01-20 00:06:27.903,27.1332922,81.0334032,0.0,219.4,8.2,OFF,97
EVT_0000023733,VH_0031,DRV_0331,,2025-01-20 00:07:51.292,22.546666,88.509336,0.0,225.8,14.5,OFF,53
EVT_0001643158,VH_ORPHAN_3986,DRV_UNKNOWN_207,,2025-01-20 00:08:00.482,24.6890714,93.9771889,19.51,114.2,48.4,OFF,44
EVT_0001639288,VH_ORPHAN_7879,DRV_UNKNOWN_623,,2025-01-20 00:08:00.576,33.4780226,72.75117,74.68,19.0,31.7,ON,92
EVT_0001640548,VH_ORPHAN_4477,DRV_UNKNOWN_499,,2025-01-20 00:08:00.765,9.1601121,68.3649018,36.84,71.3,18.6,OFF,6
EVT_0001642687,VH_ORPHAN_5978,DRV_UNKNOWN_575,,2025-01-20 00:09:00.709,12.2527565,73.8524822,59.15,51.8,45.6,OFF,17
EVT_0000204050,VH_0267,DRV_0267,,2025-01-20 00:09:14.807,19.0869229,72.6344253,0.0,151.7,9.4,OFF,21
EVT_0001642016,VH_ORPHAN_3248,DRV_UNKNOWN_284,,2025-01-20 00:10:00.765,23.6818971,81.3854378,27.09,143.2,24.4,ON,25
EVT_0000147629,VH_0194,DRV_0194,,2025-01-20 00:10:25.033,12.8424238,77.6769841,0.0,271.6,25.2,OFF,57
EVT_0000044013,VH_0062,DRV_0062,,2025-01-20 00:10:34.953,28.7808579,76.9339472,0.0,37.2,22.5,OFF,69
EVT_0000101025,VH_0128,DRV_0128,,2025-01-20 00:11:19.950,19.3169073,73.1294012,0.0,119.3,15.5,OFF,97
EVT_0000099097,VH_0126,DRV_0126,,2025-01-20 00:11:42.147,17.784734,73.7802469,0.0,118.1,15.1,OFF,91
EVT_0001643370,VH_ORPHAN_7759,DRV_UNKNOWN_844,,2025-01-20 00:12:00.850,13.3115605,89.9401296,72.0,315.2,48.0,ON,40
EVT_0001644279,VH_0172,DRV_0172,TRP_NIGHT_0198,2025-01-20 00:13:00.109,12.9875847,77.5665981,50.71,335.7,10.8,ON,35
EVT_0000178120,VH_0231,DRV_0231,,2025-01-20 00:13:02.711,12.9875183,80.4138401,0.0,41.5,8.1,OFF,81
EVT_0000051497,VH_0076,DRV_0076,,2025-01-20 00:14:23.890,17.7303554,77.8479649,0.0,347.8,8.1,OFF,58
EVT_0000160880,VH_0211,DRV_0211,,2025-01-20 00:14:48.441,12.8295019,77.8078513,0.0,248.2,25.2,OFF,29
EVT_0000209659,VH_0277,DRV_0277,,2025-01-20 00:14:54.148,26.9005364,81.2602728,0.0,95.5,17.0,OFF,70
EVT_0001642340,VH_ORPHAN_4693,DRV_UNKNOWN_731,,2025-01-20 00:16:00.489,10.603286,82.2418961,76.92,319.0,10.1,OFF,25
EVT_0001644262,VH_0147,DRV_0147,TRP_NIGHT_0181,2025-01-20 00:17:00.494,26.7500469,81.0189509,41.46,317.8,16.5,ON,65
EVT_0001639784,VH_ORPHAN_5726,DRV_UNKNOWN_721,,2025-01-20 00:17:00.836,20.4972801,77.3461788,34.12,94.9,23.3,ON,43
EVT_0001644176,VH_0229,DRV_0229,TRP_NIGHT_0095,2025-01-20 00:19:00.022,27.0127143,75.9585296,42.18,78.0,11.6,ON,41
EVT_0001644294,VH_0101,DRV_0101,TRP_NIGHT_0213,2025-01-20 00:19:00.188,12.6355457,77.847924,41.39,9.1,14.0,ON,89
EVT_0001644157,VH_0263,DRV_0263,TRP_NIGHT_0076,2025-01-20 00:20:00.422,28.0199216,77.4544181,56.69,158.1,17.4,ON,78
EVT_0001640788,VH_ORPHAN_5696,DRV_UNKNOWN_488,,2025-01-20 00:20:00.861,22.9490413,92.3793138,48.55,53.4,16.7,ON,71
EVT_0000053826,VH_0080,DRV_0080,,2025-01-20 00:20:28.328,22.67834,72.4667006,0.0,213.5,15.4,OFF,37
EVT_0001644138,VH_0045,DRV_0045,TRP_NIGHT_0057,2025-01-20 00:21:00.078,22.8655118,87.634367,26.18,318.4,18.3,ON,46
EVT_0001644068,VH_ORPHAN_7537,DRV_UNKNOWN_993,,2025-01-20 00:21:00.753,18.1731161,75.3484037,78.34,0.1,11.5,ON,20
EVT_0001644407,VH_0097,DRV_0097,TRP_NIGHT_0326,2025-01-20 00:22:00.267,13.147737,77.0851878,51.66,319.9,18.4,ON,38
EVT_0000070153,VH_0094,DRV_0094,,2025-01-20 00:22:11.123,18.5985827,74.0606776,0.0,273.8,28.6,OFF,51
EVT_0000167880,VH_0219,DRV_0219,,2025-01-20 00:23:33.652,22.6313783,88.393053,0.0,173.3,19.3,OFF,46
EVT_0000138884,VH_0181,DRV_0181,,2025-01-20 00:25:25.687,27.0866787,76.2027264,0.0,205.0,11.4,OFF,57
EVT_0000199236,VH_0258,DRV_0258,,2025-01-20 00:25:56.623,12.5825228,77.3507415,0.0,163.0,26.0,OFF,71
EVT_0001641764,VH_ORPHAN_8117,DRV_UNKNOWN_673,,2025-01-20 00:26:00.600,20.678367,85.1042225,36.2,336.8,15.6,OFF,7
