trip_id,vehicle_id,driver_id,planned_start,planned_end,origin_city,destination_city,status
TRP_000001,VH_0002,DRV_0302,2025-01-20 08:00:00,2025-01-20 09:57:00,Lucknow,Lucknow,COMPLETED
TRP_000002,VH_0002,DRV_0302,2025-01-20 14:00:00,2025-01-20 17:43:00,Lucknow,Lucknow,COMPLETED
TRP_000003,VH_0003,DRV_0303,2025-01-20 11:52:00,2025-01-20 13:04:00,Jaipur,Bangalore,COMPLETED
TRP_000004,VH_0004,DRV_0304,2025-01-20 10:41:00,2025-01-20 12:14:00,Chennai,Mumbai,COMPLETED
TRP_000005,VH_0004,DRV_0304,2025-01-20 13:43:00,2025-01-20 14:21:00,Chennai,Chennai,COMPLETED
TRP_000006,VH_0004,DRV_0304,2025-01-20 18:32:00,2025-01-20 19:20:00,Chennai,Chennai,COMPLETED
TRP_000007,VH_0004,DRV_0304,2025-01-20 19:25:00,2025-01-20 20:34:00,Chennai,Mumbai,COMPLETED
TRP_000008,VH_0006,DRV_0006,2025-01-20 10:16:00,2025-01-20 11:59:00,Ahmedabad,Ahmedabad,COMPLETED
TRP_000009,VH_0006,DRV_0006,2025-01-20 20:44:00,2025-01-21 00:17:00,Ahmedabad,Ahmedabad,COMPLETED
TRP_000010,VH_0007,DRV_0007,2025-01-20 10:46:00,2025-01-20 13:36:00,Hyderabad,Hyderabad,IN_PROGRESS
TRP_000011,VH_0008,DRV_0008,2025-01-20 14:37:00,2025-01-20 17:28:00,Mumbai,Mumbai,COMPLETED
TRP_000012,VH_0008,DRV_0008,2025-01-20 21:01:00,2025-01-20 23:43:00,Mumbai,Lucknow,COMPLETED
TRP_000013,VH_0009,DRV_0309,2025-01-20 18:41:00,2025-01-20 20:41:00,Pune,Jaipur,COMPLETED
TRP_000014,VH_0009,DRV_0309,2025-01-20 20:12:00,2025-01-20 22:21:00,Pune,Pune,COMPLETED
TRP_000015,VH_0011,DRV_0311,2025-01-20 07:46:00,2025-01-20 10:36:00,Ahmedabad,Pune,COMPLETED
TRP_000016,VH_0011,DRV_0311,2025-01-20 15:17:00,2025-01-20 16:58:00,Ahmedabad,Ahmedabad,COMPLETED
TRP_000017,VH_0012,DRV_0312,2025-01-20 09:57:00,2025-01-20 10:36:00,Bangalore,Bangalore,COMPLETED
TRP_000018,VH_0012,DRV_0312,2025-01-20 10:46:00,2025-01-20 11:23:00,Bangalore,Kolkata,COMPLETED
TRP_000019,VH_0013,DRV_0013,2025-01-20 07:37:00,2025-01-20 09:22:00,Lucknow,Delhi,COMPLETED
TRP_000020,VH_0013,DRV_0013,2025-01-20 10:57:00,2025-01-20 11:53:00,Lucknow,Chennai,COMPLETED
TRP_000021,VH_0013,DRV_0013,2025-01-20 11:56:00,2025-01-20 13:19:00,Lucknow,Lucknow,COMPLETED
TRP_000022,VH_0014,DRV_0014,2025-01-20 16:33:00,2025-01-20 19:31:00,Chennai,Chennai,CANCELLED
TRP_000023,VH_0014,DRV_0014,2025-01-20 17:00:00,2025-01-20 19:13:00,Chennai,Hyderabad,COMPLETED
TRP_000024,VH_0017,DRV_0017,2025-01-20 08:10:00,2025-01-20 10:30:00,Kolkata,Kolkata,COMPLETED
TRP_000025,VH_0018,DRV_0318,2025-01-20 21:41:00,2025-01-20 23:49:00,Pune,Mumbai,COMPLETED
TRP_000026,VH_0019,DRV_0019,2025-01-20 09:37:00,2025-01-20 10:50:00,Lucknow,Lucknow,COMPLETED
TRP_000027,VH_0019,DRV_0019,2025-01-20 12:09:00,2025-01-20 13:07:00,Lucknow,Lucknow,COMPLETED
TRP_000028,VH_0019,DRV_0019,2025-01-20 13:25:00,2025-01-20 15:19:00,Lucknow,Mumbai,COMPLETED
TRP_000029,VH_0019,DRV_0019,2025-01-20 14:58:00,2025-01-20 16:31:00,Lucknow,Pune,COMPLETED
TRP_000030,VH_0020,DRV_0320,2025-01-20 15:32:00,2025-01-20 16:32:00,Bangalore,Pune,IN_PROGRESS
TRP_000031,VH_0021,DRV_0021,2025-01-20 06:49:00,2025-01-20 10:07:00,Chennai,Delhi,COMPLETED
TRP_000032,VH_0021,DRV_0021,2025-01-20 15:36:00,2025-01-20 19:11:00,Chennai,Pune,COMPLETED
TRP_000033,VH_0024,DRV_0024,2025-01-20 14:31:00,2025-01-20 15:29:00,Ahmedabad,Ahmedabad,COMPLETED
TRP_000034,VH_0024,DRV_0024,2025-01-20 16:52:00,2025-01-20 18:55:00,Ahmedabad,Ahmedabad,COMPLETED
TRP_000035,VH_0025,DRV_0325,2025-01-20 07:58:00,2025-01-20 09:53:00,Delhi,Delhi,COMPLETED
TRP_000036,VH_0025,DRV_0325,2025-01-20 10:56:00,2025-01-20 12:55:00,Delhi,Hyderabad,IN_PROGRESS
TRP_000037,VH_0025,DRV_0325,2025-01-20 16:46:00,2025-01-20 17:37:00,Delhi,Delhi,COMPLETED
TRP_000038,VH_0025,DRV_0325,2025-01-20 21:51:00,2025-01-21 00:13:00,Delhi,Delhi,COMPLETED
TRP_000039,VH_0027,DRV_0327,2025-01-20 16:28:00,2025-01-20 18:33:00,Kolkata,Kolkata,CANCELLED
TRP_000040,VH_0027,DRV_0327,2025-01-20 20:16:00,2025-01-20 21:37:00,Kolkata,Kolkata,COMPLETED
TRP_000041,VH_0028,DRV_0028,2025-01-20 06:26:00,2025-01-20 08:17:00,Jaipur,Jaipur,COMPLETED
TRP_000042,VH_0028,DRV_0028,2025-01-20 14:58:00,2025-01-20 15:55:00,Jaipur,Kolkata,IN_PROGRESS
TRP_000043,VH_0029,DRV_0329,2025-01-20 12:31:00,2025-01-20 15:49:00,Jaipur,Jaipur,COMPLETED
TRP_000044,VH_0029,DRV_0329,2025-01-20 17:11:00,2025-01-20 20:46:00,Jaipur,Jaipur,COMPLETED
TRP_000045,VH_0031,DRV_0331,2025-01-20 16:38:00,2025-01-20 18:01:00,Kolkata,Kolkata,COMPLETED
TRP_000046,VH_0031,DRV_0331,2025-01-20 17:25:00,2025-01-20 18:09:00,Kolkata,Kolkata,COMPLETED
TRP_000047,VH_0032,DRV_0032,2025-01-20 14:59:00,2025-01-20 16:04:00,Delhi,Jaipur,COMPLETED
TRP_000048,VH_0033,DRV_0033,2025-01-20 15:44:00,2025-01-20 17:36:00,Chennai,Chennai,COMPLETED
TRP_000049,VH_0033,DRV_0033,2025-01-20 18:58:00,2025-01-20 19:41:00,Chennai,Chennai,COMPLETED
TRP_000050,VH_0034,DRV_0334,2025-01-20 09:47:00,2025-01-20 10:45:00,Hyderabad,Hyderabad,IN_PROGRESS
TRP_000051,VH_0038,DRV_0338,2025-01-20 10:42:00,2025-01-20 11:33:00,Chennai,Bangalore,COMPLETED
TRP_000052,VH_0038,DRV_0338,2025-01-20 17:15:00,2025-01-20 18:24:00,Chennai,Kolkata,COMPLETED
TRP_000053,VH_0038,DRV_0338,2025-01-20 20:18:00,2025-01-20 21:31:00,Chennai,Chennai,COMPLETED
TRP_000054,VH_0039,DRV_0339,2025-01-20 14:30:00,2025-01-20 15:58:00,Bangalore,Bangalore,COMPLETED
TRP_000055,VH_0041,DRV_0341,2025-01-20 16:01:00,2025-01-20 18:06:00,Pune,Pune,IN_PROGRESS
TRP_000056,VH_0043,DRV_0343,2025-01-20 08:24:00,2025-01-20 10:22:00,Chennai,Chennai,IN_PROGRESS
TRP_000057,VH_0043,DRV_0343,2025-01-20 09:18:00,2025-01-20 10:45:00,Chennai,Mumbai,COMPLETED
TRP_000058,VH_0043,DRV_0343,2025-01-20 15:22:00,2025-01-20 17:36:00,Chennai,Chennai,COMPLETED
TRP_000059,VH_0044,DRV_0044,2025-01-20 18:26:00,2025-01-20 19:42:00,Kolkata,Kolkata,COMPLETED
TRP_000060,VH_0044,DRV_0044,2025-01-20 20:21:00,2025-01-20 21:59:00,Kolkata,Lucknow,COMPLETED
TRP_000061,VH_0045,DRV_0045,2025-01-20 13:46:00,2025-01-20 17:32:00,Kolkata,Kolkata,COMPLETED
TRP_000062,VH_0045,DRV_0045,2025-01-20 14:21:00,2025-01-20 16:55:00,Kolkata,Mumbai,COMPLETED
TRP_000063,VH_0045,DRV_0045,2025-01-20 21:18:00,2025-01-21 00:52:00,Kolkata,Kolkata,COMPLETED
TRP_000064,VH_0046,DRV_0346,2025-01-20 18:01:00,2025-01-20 19:23:00,Mumbai,Mumbai,COMPLETED
TRP_000065,VH_0046,DRV_0346,2025-01-20 19:46:00,2025-01-20 20:50:00,Mumbai,Pune,COMPLETED
TRP_000066,VH_0047,DRV_0347,2025-01-20 10:13:00,2025-01-20 12:13:00,Lucknow,Jaipur,COMPLETED
TRP_000067,VH_0048,DRV_0348,2025-01-20 11:54:00,2025-01-20 13:58:00,Kolkata,Lucknow,COMPLETED
TRP_000068,VH_0049,DRV_0349,2025-01-20 12:30:00,2025-01-20 14:35:00,Chennai,Bangalore,COMPLETED
TRP_000069,VH_0049,DRV_0349,2025-01-20 15:27:00,2025-01-20 18:07:00,Chennai,Chennai,COMPLETED
TRP_000070,VH_0049,DRV_0349,2025-01-20 20:23:00,2025-01-20 22:52:00,Chennai,Chennai,COMPLETED
TRP_000071,VH_0050,DRV_0050,2025-01-20 11:53:00,2025-01-20 13:23:00,Hyderabad,Hyderabad,COMPLETED
TRP_000072,VH_0050,DRV_0050,2025-01-20 13:56:00,2025-01-20 16:22:00,Hyderabad,Hyderabad,COMPLETED
TRP_000073,VH_0052,DRV_0052,2025-01-20 11:06:00,2025-01-20 13:05:00,Chennai,Chennai,COMPLETED
TRP_000074,VH_0052,DRV_0052,2025-01-20 18:50:00,2025-01-20 21:50:00,Chennai,Mumbai,COMPLETED
TRP_000075,VH_0053,DRV_0053,2025-01-20 07:53:00,2025-01-20 08:26:00,Bangalore,Jaipur,COMPLETED
TRP_000076,VH_0053,DRV_0053,2025-01-20 09:50:00,2025-01-20 11:29:00,Bangalore,Mumbai,IN_PROGRESS
TRP_000077,VH_0053,DRV_0053,2025-01-20 11:01:00,2025-01-20 12:41:00,Bangalore,Bangalore,CANCELLED
TRP_000078,VH_0053,DRV_0053,2025-01-20 17:24:00,2025-01-20 18:07:00,Bangalore,Bangalore,COMPLETED
TRP_000079,VH_0055,DRV_0055,2025-01-20 08:49:00,2025-01-20 11:23:00,Delhi,Delhi,COMPLETED
TRP_000080,VH_0055,DRV_0055,2025-01-20 09:00:00,2025-01-20 10:51:00,Delhi,Delhi,COMPLETED
